"","state","sex","age","educ","race","pid7","ideo5","religion","votechoice","hispanic","know_governor","conceal","prochoice","cleanair","wall","mandmin","aca","minwage","newsint"
"46231","Arizona","Male",66,"High school graduate","White","Not very strong Republican","Conservative","Roman Catholic","Donald J. Trump (Republican)","No","Republican","Support","Support","Support","Support","Support","Support","Oppose","Most of the time"
"46232","Virginia","Female",26,"Some college","White","Lean Democrat","Not sure","Roman Catholic",NA,"No","Not sure","Oppose","Oppose","Support","Oppose","Oppose","Oppose","Favor","Only now and then"
"46233","Idaho","Female",20,"High school graduate","Hispanic","Not very strong Democrat","Very liberal","Roman Catholic",NA,NA,"Never Heard of Person","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Only now and then"
"46234","Massachusetts","Male",55,"High school graduate","White","Lean Republican","Moderate","Roman Catholic","Joe Biden (Democrat)","No","Republican","Oppose","Support","Oppose","Support","Support","Oppose","Oppose","Only now and then"
"46235","Florida","Male",60,"No HS","White","Independent","Moderate","Something else",NA,"No","Not sure","Support","Support","Support","Oppose","Support","Support","Oppose","Only now and then"
"46236","Tennessee","Male",25,"4-year","Black","Strong Democrat","Very conservative","Muslim",NA,"No","Never Heard of Person","Support","Support","Support","Support","Support","Support","Favor","Only now and then"
"46237","Illinois","Male",36,"Some college","Hispanic","Lean Democrat","Very liberal","Something else",NA,NA,"Democrat","Support","Support","Support","Oppose","Support","Oppose","Favor","Only now and then"
"46238","Florida","Male",36,"4-year","White","Independent","Conservative","Atheist",NA,"No","Republican","Oppose","Oppose","Oppose","Oppose","Support","Oppose","Oppose","Most of the time"
"46239","Ohio","Female",24,"2-year","White","Strong Republican","Very conservative","Nothing in particular",NA,"No","Republican","Oppose","Oppose","Support","Support","Oppose","Oppose","Favor","Only now and then"
"46240","Maryland","Female",65,"No HS","White","Strong Republican","Conservative","Protestant",NA,"No","Not sure","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Some of the time"
"46241","Arizona","Male",63,"High school graduate","White","Strong Democrat","Moderate","Roman Catholic","Donald J. Trump (Republican)","No","Republican","Oppose","Support","Support","Support","Support","Oppose","Oppose","Some of the time"
"46242","Florida","Male",80,"High school graduate","White","Not very strong Democrat","Moderate","Nothing in particular","Donald J. Trump (Republican)","No","Republican","Oppose","Support","Oppose","Support","Oppose","Oppose","Oppose","Some of the time"
"46243","Texas","Female",54,"High school graduate","White","Not very strong Republican","Conservative","Nothing in particular","Donald J. Trump (Republican)","No","Republican","Oppose","Support","Oppose","Support","Support","Support","Oppose","Most of the time"
"46244","Florida","Male",73,"High school graduate","White","Strong Democrat","Liberal","Nothing in particular","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"46245","South Carolina","Female",38,"2-year","Black","Independent","Not sure","Protestant",NA,"No","Not sure","Oppose","Oppose","Oppose","Oppose","Oppose","Support","Favor","Hardly at all"
"46246","Connecticut","Female",61,"High school graduate","White","Independent","Very liberal","Nothing in particular",NA,"No","Not sure","Oppose","Support","Support","Oppose","Oppose","Oppose","Favor","Some of the time"
"46247","Utah","Male",36,"High school graduate","Hispanic","Strong Republican","Very conservative","Protestant",NA,NA,"Never Heard of Person","Support","Oppose","Oppose","Support","Support","Support","Favor","Most of the time"
"46248","Illinois","Male",62,"High school graduate","White","Strong Republican","Very conservative","Protestant","Donald J. Trump (Republican)","No","Democrat","Support","Oppose","Oppose","Support","Oppose","Support","Oppose","Most of the time"
"46249","Georgia","Male",38,"4-year","Black","Strong Democrat","Moderate","Protestant","Joe Biden (Democrat)","No","Republican","Oppose","Oppose","Support","Support","Support","Support","Favor","Most of the time"
"46250","California","Female",26,"High school graduate","White","Not sure","Not sure","Roman Catholic",NA,"No","Not sure","Oppose","Support","Oppose","Oppose","Oppose","Support","Oppose","Don't know"
"46251","Texas","Female",57,"High school graduate","White","Strong Republican","Very conservative","Protestant","Donald J. Trump (Republican)","No","Republican","Oppose","Oppose","Oppose","Support","Oppose","Support","Favor","Most of the time"
"46252","Idaho","Female",21,"Some college","White","Strong Republican","Conservative","Mormon","Donald J. Trump (Republican)","No","Not sure","Oppose","Oppose","Support","Oppose","Oppose","Oppose","Favor","Some of the time"
"46253","Virginia","Female",31,"4-year","Hispanic","Strong Democrat","Very liberal","Agnostic","Joe Biden (Democrat)",NA,"Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"46254","New York","Male",34,"4-year","White","Strong Republican","Conservative","Protestant",NA,"No","Democrat","Oppose","Oppose","Support","Support","Oppose","Support","Favor","Most of the time"
"46255","Arkansas","Male",60,"High school graduate","White","Independent","Moderate","Protestant",NA,"No","Republican","Oppose","Oppose","Support","Oppose","Support","Oppose","Favor","Most of the time"
"46256","Virginia","Female",28,"Some college","White","Lean Democrat","Very liberal","Buddhist","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"46257","Texas","Male",78,"High school graduate","White","Strong Republican","Conservative","Roman Catholic","Donald J. Trump (Republican)","No","Republican","Support","Oppose","Oppose","Support","Oppose","Support","Favor","Some of the time"
"46258","Ohio","Male",22,"High school graduate","White","Strong Republican","Very conservative","Nothing in particular",NA,"No","Never Heard of Person","Support","Oppose","Oppose","Support","Support","Support","Oppose","Most of the time"
"46259","Maryland","Female",34,"Some college",NA,"Not very strong Democrat","Moderate","Nothing in particular",NA,"No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Only now and then"
"46260","North Carolina","Male",20,"Some college","White","Lean Democrat","Liberal","Nothing in particular",NA,"Yes","Democrat","Support","Support","Support","Oppose","Support","Oppose","Oppose","Most of the time"
"46261","New Mexico","Female",24,"4-year","Hispanic","Strong Republican","Conservative","Roman Catholic","Donald J. Trump (Republican)",NA,"Democrat","Oppose","Oppose","Support","Oppose","Oppose","Support","Oppose","Most of the time"
"46262","Arkansas","Male",19,"No HS","White","Not sure","Not sure","Something else","Donald J. Trump (Republican)","No","Republican","Support","Oppose","Oppose","Oppose","Support","Support","Oppose","Don't know"
"46263","Arizona","Male",62,"High school graduate","White","Not very strong Republican","Moderate","Protestant","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Oppose","Most of the time"
"46264","Michigan","Female",29,"High school graduate","Black","Strong Democrat","Very liberal","Protestant","Joe Biden (Democrat)","No","Never Heard of Person","Oppose","Support","Oppose","Support","Support","Oppose","Favor","Hardly at all"
"46265","New York","Female",56,"2-year","Hispanic","Not sure","Not sure","Roman Catholic",NA,NA,"Democrat","Support","Support","Support","Oppose","Oppose","Oppose","Favor","Some of the time"
"46266","Florida","Female",36,"No HS","White","Strong Republican","Moderate","Something else","Donald J. Trump (Republican)","No","Republican","Support","Oppose","Oppose","Support","Oppose","Oppose","Favor","Hardly at all"
"46267","New Jersey","Female",25,"Some college","Hispanic","Not very strong Democrat","Not sure","Protestant",NA,NA,"Democrat","Oppose","Support","Support","Support","Support","Oppose","Favor","Only now and then"
"46268","California","Female",59,"High school graduate","White","Strong Democrat","Moderate","Nothing in particular","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Only now and then"
"46269","Virginia","Female",29,"2-year","White","Not sure","Very liberal","Roman Catholic",NA,"No","Not sure","Support","Support","Support","Oppose","Support","Oppose","Favor","Hardly at all"
"46270","Pennsylvania","Male",21,"Some college","White","Not very strong Democrat","Very liberal","Atheist",NA,"Yes","Democrat","Oppose","Support","Oppose","Oppose","Support","Support","Oppose","Don't know"
"46271","Pennsylvania","Female",26,"4-year","White","Not very strong Democrat","Moderate","Roman Catholic","Donald J. Trump (Republican)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Only now and then"
"46272","Virginia","Female",36,"2-year","White","Strong Republican","Moderate","Protestant","Donald J. Trump (Republican)","Yes","Republican","Support","Support","Support","Support","Support","Oppose","Favor","Some of the time"
"46273","Georgia","Female",49,"High school graduate","White","Not very strong Democrat","Moderate","Roman Catholic","Joe Biden (Democrat)","No","Republican","Oppose","Oppose","Support","Oppose","Support","Oppose","Favor","Some of the time"
"46274","California","Male",65,"High school graduate","White","Strong Democrat","Liberal","Roman Catholic","Joe Biden (Democrat)","No","Democrat","Oppose","Oppose","Support","Oppose","Support","Oppose","Favor","Most of the time"
"46275","Texas","Male",34,"4-year","White","Independent","Moderate","Agnostic","Joe Biden (Democrat)","No","Republican","Oppose","Support","Support","Oppose","Support","Oppose","Oppose","Most of the time"
"46276","Florida","Female",29,"Some college","Hispanic","Lean Republican","Moderate","Jewish",NA,"Yes","Republican","Support","Support","Support","Oppose","Support","Support","Oppose","Only now and then"
"46277","Wisconsin","Male",41,"Some college","White","Strong Republican","Conservative","Nothing in particular","Donald J. Trump (Republican)","No","Democrat","Support","Oppose","Support","Support","Oppose","Support","Oppose","Some of the time"
"46278","Ohio","Male",56,"No HS","White","Not very strong Republican","Conservative","Atheist",NA,"No","Republican","Oppose","Oppose","Support","Oppose","Support","Support","Favor","Only now and then"
"46279","Minnesota","Male",24,"Some college","White","Strong Democrat","Liberal","Agnostic","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"46280","Delaware","Male",25,"Some college","White","Lean Democrat","Moderate","Nothing in particular",NA,"No","Not sure","Oppose","Support","Support","Oppose","Support","Support","Favor","Some of the time"
"46281","Nevada","Female",22,"High school graduate","White","Not very strong Democrat","Liberal","Something else",NA,"No","Not sure","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Hardly at all"
"46282","Ohio","Female",77,"High school graduate","White","Strong Republican","Moderate","Protestant","Donald J. Trump (Republican)","No","Democrat","Support","Support","Support","Support","Support","Oppose","Favor","Most of the time"
"46283","North Carolina","Female",20,"Some college","White","Not very strong Republican","Moderate","Protestant",NA,"No","Not sure","Oppose","Oppose","Support","Oppose","Oppose","Support","Oppose","Only now and then"
"46284","District of Columbia","Female",19,"No HS","Black","Lean Republican","Liberal","Eastern or Greek Orthodox",NA,"No",NA,"Support","Support","Support","Support","Support","Support","Favor","Some of the time"
"46285","California","Male",25,"2-year","Hispanic","Not very strong Republican","Conservative","Muslim",NA,"Yes","Never Heard of Person","Support","Support","Support","Support","Support","Support","Favor","Hardly at all"
"46286","Texas","Male",45,"High school graduate","White","Not very strong Republican","Conservative","Nothing in particular",NA,"No","Republican","Support","Support","Support","Support","Support","Support","Oppose","Only now and then"
"46287","Illinois","Female",36,"Post-grad","Black","Strong Democrat","Liberal","Agnostic",NA,"No","Democrat","Oppose","Support","Support","Oppose","Oppose","Oppose","Favor","Some of the time"
"46288","South Carolina","Female",40,"Some college","White","Strong Republican","Very conservative","Protestant","Donald J. Trump (Republican)","No","Not sure","Support","Oppose","Support","Support","Support","Support","Favor","Most of the time"
"46289","Florida","Female",35,"Some college","Hispanic","Independent","Very conservative","Protestant",NA,NA,"Republican","Oppose","Oppose","Support","Oppose","Oppose","Oppose","Favor","Don't know"
